Respondent,SourceStimuliName,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,33633.5889,33783.5626,1,1,149.973699999995
P1,SWA_Stimulus,SWA_Stimulus_Add_1,36075.0003,36258.2571,1,0,183.25680000000284
P1,SWA_Stimulus,SWA_Stimulus_Status Request1,37024.9034,37216.537,1,0,191.63359999999375
P1,SWA_Stimulus,SWA_Stimulus_Add_1,37283.1454,37633.1476,1,1,350.00219999999536
P1,SWA_Stimulus,SWA_Stimulus_Add_1,37758.0918,38199.753,1,1,441.661199999995
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,39141.3106,39366.252,1,3,224.94140000000334
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,39666.2812,40274.4892,3,3,608.208000000006
P1,SWA_Stimulus,SWA_Stimulus_Navigation_1,41082.7516,41091.0756,0,1,8.323999999993248
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,41116.0936,41282.7553,1,2,166.66169999999693
P1,SWA_Stimulus,SWA_Stimulus_Add_1,41341.0335,41682.6613,1,1,341.627800000002
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,42282.6335,44857.3393,5,8,2574.705799999996
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,44890.6663,45490.554,3,4,599.8876999999993
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,45598.8893,46182.1406,2,2,583.2512999999963
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,46598.7676,48348.624,5,9,1749.8564000000042
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,48348.624,49498.4763,3,3,1149.8522999999986
P1,SWA_Stimulus,SWA_Stimulus_Journalist_selection,49498.4763,49840.0716,1,0,341.59530000000086
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,49840.0716,50281.6995,1,2,441.6278999999995
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,50306.7118,50856.6632,3,3,549.9514000000054
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,51356.5814,51498.2505,1,1,141.66909999999916
P1,SWA_Stimulus,SWA_Stimulus_Confirm_add,51539.9261,51548.2307,0,1,8.30460000000312
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,52298.1588,52539.7806,1,0,241.6218000000008
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,52739.7571,53706.3754,2,1,966.6182999999946
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,53747.9934,53964.6105,1,1,216.61710000000312
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,53964.6105,54181.253,1,2,216.64249999999447
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,54189.5849,54947.8319,1,2,758.2469999999958
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,55106.1493,55506.1037,1,1,399.95440000000235
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,55506.1037,55622.7591,1,0,116.65540000000328
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_5,55681.0859,55964.4228,2,1,283.33690000000206
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,56189.3889,56331.0405,1,1,141.6516000000047
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,56339.3436,56389.3378,0,1,49.994200000001
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,56506.0209,57214.2463,1,0,708.2253999999957
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,57214.2463,57247.6025,0,1,33.35620000000199
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,57389.2591,57814.2075,2,4,424.94839999999385
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,58105.849,58697.4411,3,2,591.5920999999944
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,58864.0975,59097.3716,1,0,233.2740999999951
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,60322.2432,61013.8699,2,6,691.6267000000007
P1,SWA_Stimulus,SWA_Stimulus_Journalist_selection,61013.8699,61122.1623,1,1,108.29240000000573
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,61355.4771,61530.4341,1,1,174.95700000000215
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,61530.4341,61572.0957,0,1,41.66159999999945
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,61688.7942,61697.1244,0,1,8.33020000000397
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,61705.4655,61905.4159,1,1,199.95040000000154
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,62063.7245,63163.5803,3,4,1099.8558000000048
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,63288.5699,63363.587,1,0,75.0170999999973
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,63438.5517,63846.8396,1,1,408.2878999999957
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,63980.1554,65413.3469,5,9,1433.1914999999935
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,66779.8967,67196.4527,1,1,416.55599999999686
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,69079.5811,69304.5713,1,3,224.9902000000002
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,69304.5713,69846.1582,2,4,541.5869000000093
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,69871.156,70454.4424,2,2,583.2863999999972
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,70579.4204,71121.0321,3,6,541.611699999994
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,71670.9738,71829.2888,0,3,158.31499999998778
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,72195.9171,72462.5671,1,0,266.6499999999942
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,72804.1822,73212.4492,1,3,408.2670000000071
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,74195.6784,74962.252,1,1,766.5735999999888
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,75045.5836,75387.2335,2,2,341.649900000004
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,75512.2193,75520.5852,0,1,8.36590000000433
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,75620.5073,75845.478,1,3,224.9707000000053
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,75887.1512,75895.4869,0,1,8.335700000010547
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,75895.4869,76128.7801,1,0,233.29320000000007
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,76145.4463,76420.414,1,0,274.96770000000834
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,76420.414,76828.7315,1,2,408.3174999999901
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,76895.3625,77045.354,1,0,149.99150000000373
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,77261.9892,77486.9831,1,2,224.9939000000013
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,77486.9831,77870.2578,1,0,383.27470000000903
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,77870.2578,77878.5838,0,1,8.32599999998638
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List5,77945.2764,78161.9151,1,0,216.63869999999588
P1,SWA_Stimulus,SWA_Stimulus_Status_Request2,78186.9036,78795.1497,1,0,608.2460999999894
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,78795.1497,79203.4493,1,2,408.29959999999846
P1,SWA_Stimulus,SWA_Stimulus_Status_Request2,79203.4493,79361.7652,1,1,158.31590000000142
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_5,79553.3986,79786.7142,1,0,233.31560000000172
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_5,80703.3338,80986.5774,1,0,283.2436000000016
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,81019.9561,81753.1537,1,0,733.1975999999995
P1,SWA_Stimulus,SWA_Stimulus_Status_Request2,81911.4725,82036.4606,1,0,124.9881000000023
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,82036.4606,82353.131,2,3,316.67039999998815
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_5,82378.1193,82711.4175,1,0,333.2981999999902
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,82761.3862,82978.0393,1,0,216.65310000001045
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,83036.391,84144.5689,2,1,1108.1778999999951
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,84177.8971,85094.4823,3,4,916.5852000000014
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_6,85094.4823,85302.7792,1,0,208.2969000000012
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_5,85336.1303,85552.7921,1,0,216.66180000000168
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,85602.7543,86127.6883,1,0,524.9339999999938
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,86535.9852,87194.2436,2,2,658.2584000000061
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,87535.9181,87627.5364,1,0,91.61830000000191
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,87785.8544,87977.4891,1,0,191.63470000000962
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,88002.4869,88202.4694,1,0,199.98249999999825
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,88285.7943,88610.7752,1,2,324.98090000000957
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,88994.0653,89635.6851,3,5,641.6198000000004
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,89802.3144,90260.5688,1,0,458.2543999999907
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,90318.8941,90618.8605,1,0,299.96639999999024
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,90802.1772,91102.1424,1,1,299.96519999999146
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List5,91102.1424,91343.7982,1,1,241.65580000000773
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,91385.4964,91852.0988,1,3,466.6024000000034
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List5,91902.0639,92152.049,1,0,249.98510000000533
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,92202.0249,92368.6928,1,0,166.66790000000037
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_6,92760.3176,92985.2881,1,1,224.97050000001036
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,92985.2881,93876.832,2,2,891.5438999999897
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,93918.4955,94210.1652,1,0,291.66969999999856
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,94210.1652,94418.4644,1,1,208.29919999999402
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,94768.4151,95010.0627,1,2,241.6475999999966
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,95010.0627,95793.2941,1,1,783.2314000000042
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,98426.354,98784.6548,2,1,358.30079999999725
P1,SWA_Stimulus2,SWA_Stimulus2_Submission,99426.2446,99842.8687,1,0,416.6241000000009
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Task2,100151.1396,101384.334,7,9,1233.1944000000076
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Task2,101409.4389,102442.5712,5,7,1033.132300000012
P1,SWA_Stimulus2,SWA_Stimulus2_Question,103934.0706,104542.3445,2,1,608.2739000000001
P1,SWA_Stimulus2,SWA_Stimulus2_Question,104958.9538,105133.9446,0,2,174.99079999999958
P1,SWA_Stimulus2,SWA_Stimulus2_Question,105342.2557,105675.5284,1,0,333.27270000000135
P1,SWA_Stimulus2,SWA_Stimulus2_Question,106092.1921,106117.1757,0,1,24.983600000006845
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Task2,106225.4786,107567.031,7,8,1341.5524000000005
P1,SWA_Stimulus2,SWA_Stimulus2_Question,109200.1406,110824.9907,5,7,1624.850099999996
