TransitionSource,SWA_Stimulus_Question_Task1,SWA_Stimulus_Journalist_List_2,SWA_Stimulus_EventInfo_1,SWA_Stimulus_Journalist_List_3,SWA_Stimulus_Journalist_List_1,SWA_Stimulus_Status_Published1,SWA_Stimulus_Status_Published2,SWA_Stimulus_Status Request1,SWA_Stimulus_Event_Details,SWA_Stimulus_Add_1,SWA_Stimulus_Confirm_add,SWA_Stimulus_Available_Journalists,SWA_Stimulus_Navigation_2,SWA_Stimulus_EventInfo_3,SWA_Stimulus_EventInfo_2,SWA_Stimulus_Journalist_List5,SWA_Stimulus_Status_Published_4,SWA_Stimulus_Journalist_List4,SWA_Stimulus_Journalist_List_6,SWA_Stimulus_Status_invited1,SWA_Stimulus_Navigation_1,SWA_Stimulus_Journalist_selection,SWA_Stimulus_Status_Published_5,SWA_Stimulus_Status_Request2,SWA_Stimulus_Status_Published3,SWA_Stimulus_Status_Published_6,SWA_Stimulus_Add_2
SWA_Stimulus_Question_Task1,0.435,0.043,0.13,0.0,0.0,0.0,0.043,0.0,0.043,0.0,0.0,0.087,0.0,0.0,0.087,0.0,0.043,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus_Journalist_List_2,0.0,0.087,0.217,0.043,0.174,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.043,0.0,0.0,0.0,0.0,0.043,0.087,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus_EventInfo_1,0.028,0.065,0.262,0.047,0.14,0.009,0.028,0.131,0.047,0.112,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.019,0.0,0.0
SWA_Stimulus_Journalist_List_3,0.0,0.067,0.333,0.067,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.267,0.0,0.0
SWA_Stimulus_Journalist_List_1,0.022,0.0,0.326,0.0,0.174,0.152,0.0,0.152,0.065,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.022,0.0,0.0
SWA_Stimulus_Status_Published1,0.0,0.143,0.048,0.048,0.19,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.048,0.0,0.0
SWA_Stimulus_Status_Published2,0.0,0.538,0.077,0.0,0.0,0.077,0.154,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0
SWA_Stimulus_Status Request1,0.0,0.0,0.323,0.032,0.29,0.097,0.032,0.097,0.032,0.032,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus_Event_Details,0.019,0.0,0.212,0.0,0.019,0.0,0.0,0.0,0.25,0.038,0.019,0.327,0.038,0.0,0.038,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0
SWA_Stimulus_Add_1,0.045,0.0,0.409,0.0,0.045,0.0,0.0,0.045,0.182,0.136,0.0,0.0,0.045,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus_Confirm_add,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus_Available_Journalists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.03,0.273,0.0,0.0,0.03,0.0,0.0,0.061,0.0,0.0,0.0,0.061,0.0,0.0,0.03,0.0,0.0
SWA_Stimulus_Navigation_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.154,0.308,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.077,0.0,0.0,0.077
SWA_Stimulus_EventInfo_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.231,0.385,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.077
SWA_Stimulus_EventInfo_2,0.037,0.0,0.074,0.0,0.019,0.019,0.0,0.019,0.056,0.019,0.0,0.0,0.019,0.093,0.167,0.074,0.074,0.148,0.019,0.074,0.0,0.0,0.037,0.0,0.0,0.0,0.056
SWA_Stimulus_Journalist_List5,0.0,0.048,0.0,0.0,0.0,0.048,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.048,0.048,0.19,0.333,0.095,0.0,0.048,0.0,0.0,0.048,0.048,0.0,0.0,0.0
SWA_Stimulus_Status_Published_4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.24,0.08,0.08,0.2,0.08,0.0,0.0,0.04,0.08,0.0,0.0,0.0
SWA_Stimulus_Journalist_List4,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.257,0.029,0.029,0.171,0.0,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
